Departamento,Area de Cobertura,canal o frecuencia,medio,nombre,facebook,seguidores,lat,lon
Cochabamba,Chapare (Chimore - Ivirgazama - Sinahota - Villa Tunari - Chipiriri - Villa 14 de Septimbre - Lauca),"89,9",radio,RADIO TELEVISION CLAROS,,,,
Cochabamba,Chapare (Chimore - Ivirgazama - Sinahota - Villa Tunari - Chipiriri - Villa 14 de Septimbre - Lauca),"90,3",radio,RADIO ESPERANZA (OBISPADO DE AIQUILE FM SANTA MARIA DE LOS ANGELES),https://www.facebook.com/aiquileradioesperanza,57000,-18.204391397235984,-65.17755030338522
Cochabamba,Chapare (Chimore - Ivirgazama - Sinahota - Villa Tunari - Chipiriri - Villa 14 de Septimbre - Lauca),"91,9",radio,AMPER S.R.L.,,,,
Cochabamba,Chapare (Chimore - Ivirgazama - Sinahota - Villa Tunari - Chipiriri - Villa 14 de Septimbre - Lauca),"92,3",radio,RADIO DIOS ES AMOR UNIVERSAL,,,,
Cochabamba,Chapare (Chimore - Ivirgazama - Sinahota - Villa Tunari - Chipiriri - Villa 14 de Septimbre - Lauca),"93,1",radio,UNION BAUTISTA BOLIVIANA,https://www.facebook.com/profile.php?id=100064776608413,1554,,
Cochabamba,Chapare (Chimore - Ivirgazama - Sinahota - Villa Tunari - Chipiriri - Villa 14 de Septimbre - Lauca),"93,9",radio,RADIO TELEVISION MONUMENTAL RTM,,,-16.992318298287394,-65.24759809290379
Cochabamba,Chapare (Chimore - Ivirgazama - Sinahota - Villa Tunari - Chipiriri - Villa 14 de Septimbre - Lauca),"94,7",radio,RADIO COMUNITARIA CARRASCO,,,-17.031596009346018,-64.8643704015566
Cochabamba,Chapare (Chimore - Ivirgazama - Sinahota - Villa Tunari - Chipiriri - Villa 14 de Septimbre - Lauca),"95,1",radio,RADIO FIDES COCHABAMBA SRL,https://www.facebook.com/RadioFidesChapare,46000,-17.38384036296745,-66.15809980340045
Cochabamba,Chapare (Chimore - Ivirgazama - Sinahota - Villa Tunari - Chipiriri - Villa 14 de Septimbre - Lauca),"95,5",radio,RADIO TV MILENIO,,,,
Cochabamba,Chapare (Chimore - Ivirgazama - Sinahota - Villa Tunari - Chipiriri - Villa 14 de Septimbre - Lauca),"96,7",radio,RADIO CRUZ DEL SUR 96.7 EL CHAPARE,https://www.facebook.com/profile.php?id=100064899515881,1219,-17.031503684574776,-64.86450987642122
Cochabamba,Chapare (Chimore - Ivirgazama - Sinahota - Villa Tunari - Chipiriri - Villa 14 de Septimbre - Lauca),"97,1",radio,RADIO FM BUENAS NUEVAS SRL,,,,
Cochabamba,Chapare (Chimore - Ivirgazama - Sinahota - Villa Tunari - Chipiriri - Villa 14 de Septimbre - Lauca),"97,5",radio,RADIO TV MILENIO,,,,
Cochabamba,Chapare (Chimore - Ivirgazama - Sinahota - Villa Tunari - Chipiriri - Villa 14 de Septimbre - Lauca),"98,3",radio,PRODUCCIONES Y COMUNICACIONES BETHESAT S.R.L.,,,,
Cochabamba,Chapare (Chimore - Ivirgazama - Sinahota - Villa Tunari - Chipiriri - Villa 14 de Septimbre - Lauca),"99,1",radio,ORGANIZACION COMUNITARIA DE RADIO Y TELEVISION SOBERANIA DEL TROPICO,https://www.facebook.com/radiosoberania.bo/?locale=es_LA,385000,-16.972176737494582,-65.42229356107923
Cochabamba,Chapare (Chimore - Ivirgazama - Sinahota - Villa Tunari - Chipiriri - Villa 14 de Septimbre - Lauca),"99,5",radio,TELEVISION COSMOS UNIVERSITARIA,,,,
